ID,Titel,Typ,Kategorie,Antragsteller,Verantwortlich,Systeme,Risiko,Auswirkung,Rollback-Plan,Geplanter Start,Geplantes Ende,CAB-Datum,CAB-Entscheidung,Tatsächliches Ergebnis,Abschlussdatum
CHG-2026-001,Upgrade Veeam-Backup-Server auf v12.1,Normal,Infrastruktur,IT-Betrieb,Markus Schulz,AST-008,Mittel,Backup-Fenster um 2 h verlängert,Restore aus Snapshot,2026-03-15 22:00,2026-03-15 04:00,2026-03-11,Genehmigt,Erfolgreich,2026-03-16
CHG-2026-002,FIDO2-Schlüssel für Admin-Konten ausrollen (Phase 1),Normal,Sicherheit,ISB,Anna Weber,Alle Admin-Konten,Niedrig,Änderung des Admin-Anmeldeflusses,Richtlinie zurücksetzen + TOTP beibehalten,2026-04-05 18:00,2026-04-05 20:00,2026-04-01,Genehmigt,Erfolgreich,2026-04-06
CHG-2026-003,Notfall-Patch FortiOS (CVE-2025-32756),Notfall,Sicherheit,IT-Betrieb,Markus Schulz,AST-010,Hoch,5 min Ausfall beim Failover,Firmware zurückrollen,2025-05-14 02:00,2025-05-14 02:30,Nachgenehmigt 2025-05-14,Genehmigt,Erfolgreich,2025-05-14
CHG-2026-004,VPN Pre-Shared Key rotieren,Standard,Sicherheit,IT-Betrieb,IT-Betrieb,AST-011,Niedrig,Keine (rollend),N/A,2026-04-01 20:00,2026-04-01 20:30,Vorab genehmigt (Standard),Genehmigt,Erfolgreich,2026-04-01
CHG-2026-005,Neues VLAN für IoT-Geräte hinzufügen,Normal,Netzwerk,Facility,Markus Schulz,AST-010,Niedrig,Keine,VLAN entfernen,2026-03-20 19:00,2026-03-20 21:00,2026-03-18,Genehmigt,Erfolgreich,2026-03-20
CHG-2026-006,Fileserver auf neuen Storage migrieren,Normal,Infrastruktur,IT-Betrieb,Markus Schulz,AST-004,Hoch,4 h Ausfall,DNS auf alten Server zurücksetzen,2026-05-10 22:00,2026-05-11 02:00,2026-05-06,Genehmigt,Geplant,
CHG-2026-007,S3-Public-Access-Block Account-weit aktivieren,Normal,Sicherheit,ISB,Anna Weber,AST-012,Niedrig,Keine (Bucket bereits privat),Einstellung zurücksetzen,2026-03-18 16:00,2026-03-18 16:15,2026-03-18,Genehmigt,Erfolgreich,2026-03-18
CHG-2026-008,AUP v2.1 aktualisieren,Standard,Richtlinie,ISB,Anna Weber,Dokumentensystem,Niedrig,Keine,Auf v2.0 zurücksetzen,2026-02-01 09:00,2026-02-01 09:30,Vorab genehmigt (Standard),Genehmigt,Erfolgreich,2026-02-01
CHG-2026-009,Neuen EDR-Agenten auf Flotte ausrollen,Normal,Sicherheit,IT-Betrieb,Markus Schulz,AST-006,Mittel,Möglicher Performance-Einfluss,Deinstallation via MDM,2026-04-18 18:00,2026-04-18 22:00,2026-04-15,Genehmigt,In Bearbeitung,
CHG-2026-010,Quartalspatches Q2 einspielen,Standard,Sicherheit,IT-Betrieb,IT-Betrieb,AST-004 AST-005 AST-006,Mittel,Neustart erforderlich,Patch via WSUS zurückrollen,2026-04-10 22:00,2026-04-11 04:00,Vorab genehmigt (Standard),Genehmigt,Erfolgreich,2026-04-11
